region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
North Africa,"October 20, 2016",2016,6,NA,NA,NA,Sickness and lack of access to medicines,"Sennar, Sudan","12.917993200000, 33.195020000000",NA
North Africa,"October 20, 2016",2016,5,NA,NA,NA,Sickness and lack of access to medicines,"Asyut, Egypt","27.180160300000, 31.153529700000",NA
North Africa,"October 20, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Khartoum, Sudan","15.501534100000, 32.502556100000",NA
North Africa,"October 20, 2016",2016,12,NA,NA,NA,Sickness and lack of access to medicines,"Aswan, Egypt","23.285107000000, 31.520455700000",NA
Horn of Africa,"October 20, 2016",2016,5,NA,NA,NA,Sickness and lack of access to medicines,"Gondar, Ethiopia","12.601127000000, 37.438938500000",NA
Sub-Saharan Africa,"October 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Tunduma, Tanzania","-9.310322700000, 32.752266000000",NA
North Africa,"October 20, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Luxor, Egypt","25.694896700000, 32.624478000000",NA
Sub-Saharan Africa,"October 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Mbaya, Tanzania","-5.044899700000, 32.064499800000",NA
Horn of Africa,"October 20, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Dire Dawa, Ethiopia","9.557510200000, 41.811330600000",NA
Mediterranean,"October 19, 2016",2016,9,NA,NA,NA,Unknown,"40 miles northeast of Tripoli, Libya","33.102551800000, 13.130846500000",http://bit.ly/2dpy8oG
US-Mexico Border,"October 19, 2016",2016,1,NA,1,NA,Drowning,"Rio Grande, near Piedras Negras, Mexico","28.691352900000, -100.574861400000",http://bit.ly/2drYAcr
Central America,"October 19, 2016",2016,1,NA,1,1,Fall from train,"On train tracks near La Polka, Tonala, Chiapas, Mexico","16.089042200000, -93.774371000000",http://bit.ly/2eqVwOX
US-Mexico Border,"October 19, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),"Imperial County, California, USA","33.024950500000, -115.845024500000",http://bit.ly/2j2l61p
North Africa,"October 19, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Al Qadarif, Sudan","14.031672200000, 35.341772300000",NA
US-Mexico Border,"October 19, 2016",2016,1,1,NA,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
North Africa,"October 19, 2016",2016,6,NA,NA,NA,Sickness and lack of access to medicines,"Khartoum, Sudan","15.501534100000, 32.502556100000",NA
North Africa,"October 19, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Atbara, Sudan","17.692227100000, 33.976249200000",NA
North Africa,"October 19, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"One was at Kabish, Sudan and the other was in the small cave in the Sahra desert","13.859406900000, 33.085327300000",NA
North Africa,"October 19, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"In the Sahara Desert in Aswan, Egypt","23.459686000000, 30.665449400000",NA
Europe,"October 18, 2016",2016,1,NA,1,NA,Stabbed,"Norrent-Fontes Migrant camp, Béthune, France","50.529873600000, 2.626163000000","http://bit.ly/2erBJhT, http://bit.ly/2egqble, http://dailym.ai/2eoKz1y"
Caribbean,"October 18, 2016",2016,1,NA,1,NA,Presumed drowning,"Off Florida Keys, US","23.273557300000, -81.248220000000",http://bit.ly/2et7gBi
Europe,"October 18, 2016",2016,1,NA,1,NA,Crushed in back of truck,"A20 Highway, near Sellindge, Kent, UK","51.101895200000, 0.983391600000","http://bit.ly/2et7OHf, http://bit.ly/2qtNbAv"
Horn of Africa,"October 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Harar, Ethiopia","9.312848600000, 42.100639100000",NA
Horn of Africa,"October 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Berbera, Somalia","10.432537300000, 44.994641500000",NA
North Africa,"October 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Aswan, Egypt","23.285107000000, 31.520455700000",NA
Horn of Africa,"October 18, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Near Garowe, Somalia","8.406657900000, 48.471357700000",NA
North Africa,"October 16, 2016",2016,5,NA,NA,NA,Sickness and lack of access to medicines,"Abri, Sudan","20.794832300000, 30.338294400000",NA
Horn of Africa,"October 15, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Near Tesseney, Eritrea, at border with Sudan","15.111552600000, 36.230819000000",NA
Horn of Africa,"October 15, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Molki, Eritrea","14.873133900000, 38.155581900000",NA
Horn of Africa,"October 15, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Near Karora, Eritrea","17.702562300000, 38.363039100000",NA
Europe,"October 14, 2016",2016,1,NA,1,NA,Hit by train,"On train tracks in Loon-Plage, near Calais, France","50.951880300000, 1.833936700000",http://bit.ly/2dV9pq6
Central America,"October 14, 2016",2016,1,NA,1,NA,Fall from train,"Between Aguascalientes and Jalisco, Mexico","20.129511000000, -104.468201400000",http://bit.ly/2ew3khs
Mediterranean,"October 14, 2016",2016,17,NA,13,1,Presumed drowning,Unspecified location between North Africa and Italy.,"38.960724200000, 10.904485400000","http://tmsnrt.rs/2dIp0Yk, http://bit.ly/2dIsBp2"
US-Mexico Border,"October 14, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"October 14, 2016",2016,1,1,NA,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"October 14, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"October 14, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
North Africa,"October 14, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Abu Hamad, Sudan","19.525259500000, 33.297328800000",NA
North Africa,"October 14, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Sahra desert near to Aswan, Egypt","21.906769500000, 30.822252900000",NA
Horn of Africa,"October 14, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Near Atbara, Sudan","17.692227100000, 33.976249200000",NA
Horn of Africa,"October 14, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,Sahra desert between Atbara and Aswan,"21.906769500000, 30.822252900000",NA
US-Mexico Border,"October 12, 2016",2016,1,NA,1,NA,Drowning,"Rio Grande near Cuidad Acuña, Coahuila, Mexico","27.133490800000, -103.434484000000",http://bit.ly/2dXVzEA
Europe,"October 12, 2016",2016,1,NA,1,NA,Presumed drowning,"Decomposed corpse found in Evros River near Soufli, Greece border with Turkey","41.344216100000, 26.099691600000",http://bit.ly/2ebyw7x
Mediterranean,"October 12, 2016",2016,4,NA,NA,NA,Presumed drowning,"Unspecified location off the coast of Ceuta, Spain","35.895384600000, -5.334817200000",http://bit.ly/2mEEn9c
US-Mexico Border,"October 12, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
South America,"October 12, 2016",2016,1,1,NA,NA,Unknown,"Terminal de Transporte Terrestre, Pasto, Colombia","1.198356800000, -77.269367000000",https://bit.ly/2MmBnha
US-Mexico Border,"October 11, 2016",2016,1,NA,1,NA,Drowning,"Rio Grande, near the agricultural land (ejido) El Centinela de Piedras Negras, Mexico","28.661141800000, -100.569016600000",http://bit.ly/2efIFn5
US-Mexico Border,"October 10, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"October 10, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Horn of Africa,"October 10, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Dire Dawa, Ethiopia","9.557510200000, 41.811330600000",NA
North Africa,"October 10, 2016",2016,30,NA,NA,NA,Sickness and lack of access to medicines,"Nyali, Sudan","12.052156400000, 24.874462400000",NA
North Africa,"October 10, 2016",2016,6,NA,NA,NA,Sickness and lack of access to medicines,"Ajdabiya, Libya","30.272374300000, 19.074105200000",NA
Horn of Africa,"October 10, 2016",2016,5,NA,NA,NA,Sickness and lack of access to medicines,"Matama, Ethiopia","12.994478700000, 36.182405400000",NA
North Africa,"October 10, 2016",2016,3,NA,NA,NA,Sickness and lack of access to medicines,"Alexanderia, Egypt","31.224091900000, 29.884850000000",NA
Horn of Africa,"October 10, 2016",2016,6,NA,NA,NA,Sickness and lack of access to medicines,"Bahir Dar, Ethiopia","11.580677900000, 37.310383100000",NA
North Africa,"October 10, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Gallabat, Sudan","12.966649600000, 36.111394100000",NA
North Africa,"October 10, 2016",2016,2,NA,NA,NA,Sickness and lack of access to medicines,"Al Damar, Sudan","17.583973500000, 33.950157000000",NA
Europe,"October 09, 2016",2016,1,NA,1,NA,Hit by vehicle,"Motorway through Chunnel Tunnel, near Calais, France","50.951880300000, 1.833936700000",http://bbc.in/2dO6zTr
Central America,"October 09, 2016",2016,1,NA,1,NA,Drowning,"Echegaray River, Pijijiapan, Chiapas, Mexico","15.678887600000, -93.230549400000",http://bit.ly/2dUwpnT
Europe,"October 09, 2016",2016,1,1,NA,1,Hit by vehicle,"Ventimiglia, A10 motorway from Liguria to France, Italy","43.801170700000, 7.592028400000","http://bit.ly/2ke03XK, http://bit.ly/2kzBqpK, http://bit.ly/2tMpCGC"
Mediterranean,"October 09, 2016",2016,2,1,1,1,Drowning,"Bodies found on the shores of Zuwara, Libya","32.955797400000, 12.058880000000",NA
Mediterranean,"October 06, 2016",2016,1,NA,1,1,Drowning,"Body found on beach in Kusadasi's Kadinlar Denizi neighborhood, Turkey","37.843869900000, 27.242286000000",http://bit.ly/2e2XLbY
US-Mexico Border,"October 06, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Mediterranean,"October 05, 2016",2016,3,2,NA,1,Drowning,"Bodies found on the shores of Zuwara, Libya","32.955797400000, 12.058880000000",NA
Horn of Africa,"October 05, 2016",2016,10,NA,NA,NA,Unknown,"Bodies recovered from boat near Obock, Djibouti","11.961817100000, 43.296434100000",NA
Central America,"October 04, 2016",2016,0,NA,NA,NA,"Dehydration, Asphyxiation","Back of a truck, Novara, Tres Valles, Veracruz, Mexico","18.268156600000, -95.896946100000",http://bit.ly/2ds5sdg
Central America,"October 04, 2016",2016,6,NA,1,5,"Dehydration, Asphyxiation","Back of a truck, Novara, Tres Valles, Veracruz, Mexico","18.268156600000, -95.896946100000","http://bit.ly/2ds5sdg, http://bit.ly/2dOdfEw, http://bit.ly/2e5bSMH"
Mediterranean,"October 04, 2016",2016,28,NA,NA,NA,Asphyxiation,Unspecified waters between Libya and Italy,"34.253371600000, 14.498815300000",http://reut.rs/2duAno1
Mediterranean,"October 03, 2016",2016,11,2,7,2,Drowning,"Boats sank off the coast of Garabulli, Libya","32.885643000000, 13.678685600000",http://bit.ly/2cPfhmG
Mediterranean,"October 03, 2016",2016,10,NA,NA,NA,Unknown,Unspecified location at least 12 km from Libyan coast,"32.727987400000, 15.068537300000",http://bit.ly/2dpp9BR
Mediterranean,"October 03, 2016",2016,30,NA,NA,NA,Drowning,"Boats sank off the coast of Sabratha, Libya","32.878302000000, 12.386814500000",http://bit.ly/2e1dJWH
Mediterranean,"October 03, 2016",2016,1,NA,1,NA,Presumed drowning,"Body found on Avlaki beach on Ikaria, Greece","37.599864200000, 26.029615800000",NA
Horn of Africa,"October 03, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Jigjiga, Ethiopia","9.352104400000, 42.777371200000",NA
North Africa,"October 03, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Al Fashir, Sudan","13.627617000000, 25.310526900000",NA
North Africa,"October 03, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Zawara, Libya","32.928427400000, 12.044630400000",NA
US-Mexico Border,"October 02, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"October 02, 2016",2016,1,NA,1,NA,Dehydration,"Comanche Ranch, near Eagle Pass, Maverick County, Texas, USA","28.744368162990, -100.468965674900",http://bit.ly/2xuXwQD
Sub-Saharan Africa,"October 01, 2016",2016,7,NA,NA,NA,Vehicle Accident,"Cabo Delgado Province, Mozambique","-12.594429500000, 38.794922000000",NA
South America,"September 30, 2016",2016,1,NA,1,NA,Cardiac arrest,"Daríen gap, Chocó, Colombia","7.781119400000, -77.932556400000",http://bit.ly/2cG8c7K
US-Mexico Border,"September 30, 2016",2016,1,1,NA,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
North Africa,"September 30, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Tripoli, Libya","32.887209400000, 13.191338300000",NA
North Africa,"September 30, 2016",2016,1,NA,NA,NA,Unknown,"Sabha, Libya","27.104462568818, 14.823972987500",NA
North Africa,"September 30, 2016",2016,5,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Misurata and Subratah, Libya","32.451679657525, 14.591612250000",NA
Mediterranean,"September 29, 2016",2016,27,NA,NA,NA,Drowning,"Off the coast of Bodrum, Mu?la, Turkey. Likely en route to Kos","37.031906900000, 27.421418000000",http://wapo.st/2dA1Fwf
Middle East,"September 29, 2016",2016,14,NA,NA,NA,Vehicle Accident,Southeast Iran,"27.379181800000, 58.537527200000",http://yhoo.it/2drZ42E
Mediterranean,"September 28, 2016",2016,18,NA,NA,NA,Drowning,"Bodies found at Tobruk, Libya","32.096425800000, 23.920516700000",NA
US-Mexico Border,"September 28, 2016",2016,1,NA,1,NA,Drowning,"Rio Grande, near Guerrero, Coahuila, Mexico","27.133490800000, -103.434484000000","http://bit.ly/2dgBJCZ, http://bit.ly/2dAJxkF"
US-Mexico Border,"September 27, 2016",2016,1,NA,NA,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"September 24, 2016",2016,1,NA,1,1,Presumed drowning,"Rio Grande near Km. 90 of Carretera 2 between Guerrero and Hidalgo, Coahuila, Mexico","27.133490800000, -103.434484000000",http://bit.ly/2d2Bdfu
Europe,"September 24, 2016",2016,1,NA,1,NA,Hit by train,"Train tracks near port of Calais, France","50.951880300000, 1.833936700000",http://bit.ly/2dllJhF
Horn of Africa,"September 23, 2016",2016,1,NA,1,NA,Suffocation,"Showran coast, Shabwa, Hadhramaut Governorate, Yemen","15.359741600000, 49.706400100000",http://bit.ly/2mvT3Ki
US-Mexico Border,"September 23, 2016",2016,1,NA,NA,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Sub-Saharan Africa,"September 23, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Garisa, Kenya","-0.459103400000, 39.631075800000",NA
Horn of Africa,"September 23, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Jowhar, Somalia","2.776983200000, 45.499266400000",NA
Horn of Africa,"September 23, 2016",2016,1,NA,NA,NA,Sickness and lack of access to medicines,"Kismayo, Somalia","-0.354097600000, 42.527818400000",NA
US-Mexico Border,"September 22, 2016",2016,1,NA,1,NA,Unknown (decomposed remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
US-Mexico Border,"September 22, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Central America,"September 21, 2016",2016,1,NA,1,NA,Fall from train,"Train tracks at intersection on Calle de Sur 20 in Modelo, Rio Blanco, Veracruz, Mexico","18.268156600000, -95.896946100000",http://bit.ly/2cHUhtN
Middle East,"September 21, 2016",2016,1,NA,NA,NA,Plane stowaway,"King Abdulaziz International Airport, Jeddah, Saudi Arabia","21.668882700000, 39.153842500000",http://bit.ly/2dHMnW3
Caribbean,"September 21, 2016",2016,20,2,3,NA,Drowning,"Unknown location between Cuba and the Florida Keys, US. Bodies found in various locations.","24.713256300000, -81.119485200000","http://bit.ly/2dyLOx6, http://bit.ly/2d9w42S"
Central America,"September 21, 2016",2016,1,1,NA,NA,Unknown,"Puente El Nancite, Sota Caballos, Cárdenas, Rivas, Nicaragua","11.197166100000, -85.514037700000",http://bit.ly/2gXnL8v
Central America,"September 21, 2016",2016,1,NA,1,NA,Sickness and lack of access to medicines,"Migrant camp near La Cruz, Costa Rica, on border with Nicaragua","11.097036200000, -85.683011600000",http://bit.ly/2cAQ2PM
Mediterranean,"September 21, 2016",2016,288,10,31,1,Drowning,"12 km (7.5 m) off the coast of Burg Rashid, Egypt","31.473281800000, 30.323640200000",http://reut.rs/2dtDtfC
North Africa,"September 21, 2016",2016,7,NA,NA,NA,Sickness and lack of access to medicines,"Shimaliya Province, Sudan","19.402255200000, 27.905378900000",NA
US-Mexico Border,"September 21, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
Mediterranean,"September 20, 2016",2016,1,NA,NA,NA,Dehydration,"Off the coast of Sidi Mechreg, Tunisia","37.162570000000, 9.121454400000",http://bit.ly/2cZ1CIS
US-Mexico Border,"September 20, 2016",2016,1,NA,1,NA,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),"31.965203600000, -113.011894500000",NA
